episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
20,1.0,3.19997753104363,0.6830900254752619,0.1680521478607015,-27.860032208533436,2.0391656807378498,[-27.860032208533436, 2.0391656807378498],0.0,False,True,0.7919330937832181,1,17.709159380834848,70.063,prepare,0.0
20,2.0,3.1997327938476157,0.6831032114197831,0.18326595495146542,4.757464462783666,1.7280565613629348,[4.757464462783666, 1.7280565613629348],1.0,False,True,0.7905513581379275,1,17.709159380834848,70.13,in_progress,0.0
20,3.0,3.2092295997231375,0.6829177953096107,0.09971900388274708,30.0,1.1356838686520323,[30.0, 1.1356838686520323],1.0,False,True,0.8441742547447382,1,17.709159380834848,70.198,in_progress,0.0
20,4.0,3.2339537138516024,0.6913284271237917,2.1114901390547254,30.0,1.2957552116822206,[30.0, 1.2957552116822206],1.0,False,True,0.9838608672544803,1,17.709159380834848,70.264,in_progress,0.0
20,5.0,3.2691018638606306,0.7119244761316589,6.652212195722722,-30.0,1.0332839799544973,[-30.0, 1.0332839799544973],1.0,False,True,1.1825131442548584,1,17.709159380834848,70.33,in_progress,0.0
20,6.0,3.3152551694452,0.7247340848582834,8.530228804753374,-23.127952206933415,2.421355681908643,[-23.127952206933415, 2.421355681908643],1.0,False,True,1.443241879824209,2,17.709159380834848,70.402,in_progress,0.0
20,7.0,3.374237449626211,0.7174833327704286,4.855844788212448,13.212988705814837,2.0947756222785254,[13.212988705814837, 2.0947756222785254],1.0,False,True,1.7759935656955315,2,17.709159380834848,70.462,in_progress,0.0
20,8.0,3.4467946277072867,0.707480203416533,1.3070299907045686,-12.573492785310247,3.0,[-12.573492785310247, 3.0],1.0,False,True,2.1856947724027376,3,17.709159380834848,70.532,in_progress,0.0
20,9.0,3.5096856180159377,0.7042808782945287,0.1926247687943471,-30.0,1.3297825882116259,[-30.0, 1.3297825882116259],1.0,False,True,2.540839488221662,3,17.709159380834848,70.602,in_progress,0.0
20,10.0,3.5940145683826494,0.6826219771219475,-4.583993385350339,22.187104850750522,1.6472545426245027,[22.187104850750522, 1.6472545426245027],1.0,False,True,3.0169793964492526,4,17.709159380834848,70.665,in_progress,0.0
20,11.0,3.68261715876754,0.6602191495021219,-7.929431997263765,-2.5683317128246976,1.954351598121776,[-2.5683317128246976, 1.954351598121776],1.0,False,True,3.5172528857897576,4,17.709159380834848,70.729,in_progress,0.0
20,12.0,3.7850893927989095,0.6483903670079186,-7.5524848343615645,-30.0,1.7513554908352187,[-30.0, 1.7513554908352187],1.0,False,True,4.095867623981337,5,17.709159380834848,70.802,in_progress,0.0
20,13.0,3.890872297032064,0.6253778413589576,-9.50193010778759,-30.0,2.067109684597146,[-30.0, 2.067109684597146],1.0,False,True,4.693161934195029,6,17.709159380834848,70.867,in_progress,0.0
20,14.0,3.9920555195958443,0.5877550080779338,-13.850175670837233,-0.8474401664255922,1.0,[-0.8474401664255922, 1.0],0.5,False,True,5.264449172201288,6,17.709159380834848,70.934,in_progress,0.0
20,15.0,4.098925918937561,0.5426816338187809,-18.72178638382842,25.836335795790127,1.532947581987719,[25.836335795790127, 1.532947581987719],0.5,False,True,5.8678359828879145,7,17.709159380834848,71.001,in_progress,0.0
20,16.0,4.198667683328971,0.5140634028578775,-17.710744516378657,18.619804647600226,2.3558804556430832,[18.619804647600226, 2.3558804556430832],0.5,False,True,6.430995131919294,8,17.709159380834848,71.065,in_progress,0.0
20,17.0,4.30983423566275,0.49732677847207335,-13.89232804809263,30.0,1.9606704256990581,[30.0, 1.9606704256990581],0.5,False,True,7.058690264563644,8,17.709159380834848,71.132,in_progress,0.0
20,18.0,4.434933949336604,0.4965191987128353,-7.751894513426112,8.510860319462935,1.9367055743435513,[8.510860319462935, 1.9367055743435513],1.0,False,True,7.7651052762887876,9,17.709159380834848,71.201,in_progress,0.0
20,19.0,4.5583465815684905,0.5076893854799087,-2.0592490493654214,10.190689000429813,1.836225843056746,[10.190689000429813, 1.836225843056746],1.0,False,True,8.462001674905894,10,17.709159380834848,71.263,in_progress,0.0
20,20.0,4.720543919354626,0.5364686145734553,4.646160626338692,-30.0,1.0637202487137094,[-30.0, 1.0637202487137094],1.0,False,True,9.377942285889274,11,17.709159380834848,71.332,in_progress,0.0
20,21.0,4.819830602812127,0.5555251240081692,7.598297024310628,30.0,3.0,[30.0, 3.0],1.0,False,True,9.938635226922965,12,17.709159380834848,71.402,in_progress,0.0
20,22.0,4.9225601991174655,0.5733113798435931,8.999559062963646,5.102756905902297,1.4613901100847242,[5.102756905902297, 1.4613901100847242],1.0,False,True,10.518764220914516,12,17.709159380834848,71.467,in_progress,0.0
20,23.0,5.029210766747431,0.6049634504315585,12.419897525781888,-30.0,1.0,[-30.0, 1.0],0.5,False,True,11.121083902788207,13,17.709159380834848,71.531,in_progress,0.0
20,24.0,5.12876186265823,0.6339725864922909,14.210233223324567,-1.834436383138872,1.6765218764320267,[-1.834436383138872, 1.6765218764320267],0.5,False,True,11.683286254462544,14,17.709159380834848,71.601,in_progress,0.0
20,25.0,5.224801680299074,0.657252469841094,14.029847249826132,30.0,1.0,[30.0, 1.0],0.5,False,True,12.225657350992277,14,17.709159380834848,71.666,in_progress,0.0
20,26.0,5.316538149044913,0.6806669062537063,14.13140430215864,-30.0,1.71253140779065,[-30.0, 1.71253140779065],0.5,False,True,12.743711518227618,15,17.709159380834848,71.733,in_progress,0.0
20,27.0,5.407496961779183,0.7031526693725101,13.945971386557664,-19.89743640842749,1.9773322925816892,[-19.89743640842749, 1.9773322925816892],0.5,False,True,13.25739425265991,16,17.709159380834848,71.8,in_progress,0.0
20,28.0,5.514195150057446,0.7106329128214661,10.046443693157816,19.966009379462072,1.799918522408544,[19.966009379462072, 1.799918522408544],1.0,False,True,13.860067813419116,16,17.709159380834848,71.865,in_progress,0.0
20,29.0,5.614486340987295,0.7125683745990621,6.612833912014566,-5.021801428921545,2.873829857632484,[-5.021801428921545, 2.873829857632484],1.0,False,True,14.426121897627104,17,17.709159380834848,71.931,in_progress,0.0
20,30.0,5.739388646911603,0.7258096286907266,6.226700827455496,-30.0,2.958601448151298,[-30.0, 2.958601448151298],1.0,False,True,15.131395393069532,18,17.709159380834848,71.999,in_progress,0.0
20,31.0,5.858773029074988,0.7304373039798108,4.414123682786948,-15.621011979132694,3.0,[-15.621011979132694, 3.0],1.0,False,True,15.804400148543666,19,17.709159380834848,72.066,in_progress,0.0
20,32.0,5.991740236278806,0.7206976342982556,0.33147007257831457,-30.0,1.0,[-30.0, 1.0],1.0,False,True,16.5546883196297,20,17.709159380834848,72.141,in_progress,0.0
20,33.0,6.160940200850029,0.6915253826576916,-6.089059793385393,14.160989213087255,2.0362898513986183,[14.160989213087255, 2.0362898513986183],1.0,False,True,17.513056576188436,21,17.709159380834848,72.201,in_progress,0.0
20,34.0,6.255873190689078,0.6719443233642955,-8.52141571904726,17.903481634459226,2.488633933837276,[17.903481634459226, 2.488633933837276],0.5,False,True,18.040658779617388,21,17.709159380834848,72.266,in_progress,0.0
20,35.0,6.385135298693407,0.6596586186638856,-7.09581861224102,-11.439987184835658,1.8341422327708683,[-11.439987184835658, 1.8341422327708683],0.5,False,True,18.74973598567674,22,17.709159380834848,72.331,in_progress,0.0
20,36.0,6.523594525681321,0.6501527014552362,-5.487331444887511,-30.0,1.7658210957659832,[-30.0, 1.7658210957659832],0.5,False,True,19.451677887144005,23,17.709159380834848,72.402,in_progress,0.0
